year,state,atkin05,gini,rmeandev,theil,top10,top1
1921,"District of Columbia",.1490095,.4020833,.5731398,.3877487,.3319744,.1166638
1921,"Florida",.1411639,.3983755,.5487556,.344105,.3278253,.0992242
1921,"Georgia",.1284307,.3686431,.4973489,.3187859,.3096179,.1013342
1921,"Hawaii",,,,,,
1921,"Idaho",.0805019,.2924334,.3884654,.1712891,.2255251,.0536773
1921,"Illinois",.1548155,.3977734,.579174,.4306067,.3554152,.1295824
1921,"Indiana",.1183612,.3493988,.4779691,.300461,.3042054,.0981677
1921,"Iowa",.0952511,.3229554,.4497058,.235171,.281207,.0813751
1921,"Kansas",.1168116,.3580091,.4880012,.2637777,.2859908,.0779014
1921,"Kentucky",.1374975,.3892562,.5406267,.3387897,.3242655,.1003253
1921,"Louisiana",.1308669,.3788688,.5239959,.3258116,.3111727,.1009105
1921,"Maine",.1491383,.3937897,.5538373,.4123527,.3445033,.1223565
1921,"Maryland",.1770827,.4441257,.6338156,.4620278,.3649016,.1253119
1921,"Massachusetts",.1852854,.441913,.6293305,.5153507,.3855733,.1481497
1921,"Michigan",.1664858,.4112481,.5744608,.4871478,.35628,.1354873
1921,"Minnesota",.136349,.3784139,.5203,.3612429,.3329206,.1151718
1921,"Mississippi",.1364811,.4073183,.5407327,.3124297,.3046531,.0880613
1921,"Missouri",.1488464,.395454,.5616367,.3924694,.3489031,.117132
1921,"Montana",.0906946,.3081686,.4024046,.2051101,.2427089,.0678832
1921,"Nebraska",.1277859,.3746038,.5117949,.2980605,.3005052,.0873358
1921,"Nevada",.0893635,.3097332,.4174764,.2054121,.2519565,.0642079
1921,"New Hampshire",.1394435,.3801079,.5341446,.3496377,.3234102,.1041505
1921,"New Jersey",.1675173,.4225793,.6000744,.4536343,.3638349,.1289752
1921,"New Mexico",.0884697,.3081837,.4127153,.2016315,.2496439,.0700115
1921,"New York",.217187,.4760067,.6975353,.6437093,.4248888,.1689222
1921,"North Carolina",.1419101,.3798481,.5358406,.3855957,.3346617,.1190383
1921,"North Dakota",.0889722,.3138036,.4206344,.1935527,.2526201,.0615855
1921,"Ohio",.1544989,.3995397,.5653464,.4217327,.3520199,.1261761
1921,"Oklahoma",.1185483,.3528239,.4806941,.2904215,.3041987,.0918834
1921,"Oregon",.1379968,.3727905,.5092421,.3791564,.3170698,.1084255
1921,"Pennsylvania",.1696354,.4141005,.5931194,.491775,.3689391,.1470944
1921,"Rhode Island",.2187865,.4728243,.6915333,.6592591,.4266281,.1797545
1921,"South Carolina",.1117187,.3471584,.4649578,.2713413,.2935673,.09007
1921,"South Dakota",.1058625,.3520051,.4703065,.2274687,.2656294,.0655063
1921,"Tennessee",.1406875,.3969304,.5462625,.3428879,.3281896,.0994685
1921,"Texas",.1206673,.3570416,.4785307,.2955573,.2873422,.0935259
1921,"Utah",.1026679,.3337313,.4549721,.2379134,.28037,.0769127
1921,"Vermont",.143977,.3951218,.5489916,.3692821,.3315937,.1107115
1921,"Virginia",.1210909,.3625991,.4949265,.2962361,.3053789,.0924977
1921,"Washington",.1269805,.3899331,.5284654,.2910679,.2856321,.0818533
1921,"West Virginia",.1251035,.3591089,.4928446,.3195522,.3115332,.10368
1921,"Wisconsin",.1574026,.4134099,.5893258,.3859147,.3322961,.1061671
1921,"Wyoming",.0944961,.3109949,.4104059,.2193696,.2509429,.0745272
1922,"United States",.1887706,.4401076,.627629,.5522115,.3846343,.1536234
1922,"Alabama",.1323165,.3744675,.5263543,.3351861,.3249798,.1031501
1922,"Alaska",,,,,,
1922,"Arizona",.1009299,.3278148,.4504966,.2332871,.2672026,.0755393
1922,"Arkansas",.1446315,.3927064,.5503224,.3606545,.3335095,.103781
1922,"California",.16158,.4112499,.5870332,.434263,.3627208,.1260087
1922,"Colorado",.1685073,.4104547,.571519,.5033503,.350062,.1390907
1922,"Connecticut",.1803819,.4373921,.6269125,.4942505,.380347,.1422732
1922,"Delaware",.159527,.3918132,.563436,.4683143,.3666807,.147802
1922,"District of Columbia",.1646412,.4119858,.5926219,.4674524,.3637914,.1397496
1922,"Florida",.163621,.4155404,.5860918,.4438281,.3565508,.1231076
1922,"Georgia",.1366502,.3779454,.5204539,.3498363,.3239865,.1094467
1922,"Hawaii",,,,,,
