"Unique Key","Created Date","Closed Date","Complaint Type","Location"
9352524,"09/11/2007 12:00:00 AM","09/16/2007 12:00:00 AM","Street Light Condition",""
6201717,"06/25/2007 12:00:00 AM","06/26/2007 12:00:00 AM","Cranes and Derricks","(40.79439709432162, -73.96641243738797)"
9954446,"11/30/2007 12:00:00 AM","12/08/2007 12:00:00 AM","HEATING","(40.688472478685654, -73.8658414913488)"
2725125,"01/25/2007 12:00:00 AM","01/24/2007 12:00:00 AM","Street Light Condition",""
9968475,"12/01/2007 12:00:00 AM","02/04/2009 12:00:00 AM","Street Light Condition","(40.595298627256575, -74.0628627195906)"
5178854,"07/02/2007 12:00:00 AM","10/01/2007 12:00:00 AM","Damaged Tree","(40.608617851142334, -74.06515862267884)"
7537118,"02/26/2007 12:00:00 AM","03/22/2007 12:00:00 AM","ELECTRIC","(40.87438123809322, -73.87517512222466)"
9420714,"09/20/2007 12:00:00 AM","09/26/2007 12:00:00 AM","PAINT - PLASTER","(40.628023240814045, -73.95769870856421)"
10048393,"12/11/2007 12:00:00 AM","12/12/2007 12:00:00 AM","Missed Collection (All Materials)","(40.62105407095158, -73.96547664436406)"
9568297,"10/11/2007 12:00:00 AM","10/10/2007 12:00:00 AM","Street Light Condition",""
7795985,"01/18/2007 12:00:00 AM","01/30/2007 12:00:00 AM","HEATING","(40.802164418613806, -73.93902242696387)"
7786851,"03/23/2007 12:00:00 AM","06/30/2008 12:00:00 AM","PAINT - PLASTER","(40.68566516889858, -73.94226950581083)"
6190217,"04/08/2007 12:00:00 AM","04/09/2007 12:00:00 AM","Missed Collection (All Materials)","(40.76471229592238, -73.80526797772538)"
8376382,"06/08/2007 12:00:00 AM","06/09/2007 12:00:00 AM","PAINT - PLASTER","(40.85219498574082, -73.89651822784384)"
4138422,"05/30/2007 12:00:00 AM","05/30/2007 12:00:00 AM","Disorderly Youth","(40.615772014582184, -73.95450077956109)"
9624775,"10/19/2007 12:00:00 AM","10/18/2007 12:00:00 AM","Street Light Condition","(40.58438291781508, -73.97326845170966)"
